fetched_at	query	eid	title	status
2026-06-16T08:01:55.035915+00:00	태조	E0059033	태조	written
2026-06-16T08:01:58.057120+00:00	정종	E0050884	정종	written
2026-06-16T08:02:01.113458+00:00	태종	E0059039	태종	written
2026-06-16T08:02:04.222161+00:00	세종	E0029857	세종	written
2026-06-16T08:02:07.272591+00:00	문종	E0019665	문종	written
2026-06-16T08:02:13.380977+00:00	단종	E0013661	단종	written
2026-06-16T08:02:19.518603+00:00	세조	E0029849	세조	written
2026-06-16T08:02:28.637047+00:00	예종	E0038021	예종	written
2026-06-16T08:02:40.849505+00:00	성종	E0029554	성종	written
2026-06-16T08:02:46.943939+00:00	연산군	E0036803	연산군	written
2026-06-16T08:02:53.045024+00:00	중종	E0053932	중종	written
2026-06-16T08:03:02.206530+00:00	인종	E0047034	인종	written
2026-06-16T08:03:11.323176+00:00	명종	E0018366	명종	written
2026-06-16T08:03:17.375752+00:00	선조	E0028912	선조	written
2026-06-16T08:03:23.444376+00:00	광해군	E0005335	광해군	written
2026-06-16T08:03:29.661957+00:00	인조	E0047028	인조	written
2026-06-16T08:03:35.764608+00:00	효종	E0065706	효종	written
2026-06-16T08:03:44.951183+00:00	현종	E0063418	현종	written
2026-06-16T08:03:54.250532+00:00	숙종	E0031837	숙종	written
2026-06-16T08:04:03.262036+00:00	경종	E0002808	경종	written
2026-06-16T08:04:12.465183+00:00	영조	E0037669	영조	written
2026-06-16T08:04:21.716115+00:00	정조	E0050867	정조	written
2026-06-16T08:04:27.824496+00:00	순조	E0031943	순조	written
2026-06-16T08:04:37.000162+00:00	헌종	E0063230	헌종	written
2026-06-16T08:04:43.068074+00:00	철종	E0056172	철종	written
2026-06-16T08:04:52.346375+00:00	고종	E0003939	고종	written
2026-06-16T08:04:58.434796+00:00	훈민정음	E0065805	훈민정음	written
2026-06-16T08:05:04.603154+00:00	집현전	E0055081	집현전	written
2026-06-16T08:05:10.798358+00:00	경국대전	E0002296	경국대전	written
2026-06-16T08:05:13.905541+00:00	과거	E0004562	과거	written
2026-06-16T08:05:20.017610+00:00	사림	E0025557	사림	written
2026-06-16T08:05:48.002355+00:00	훈구			no_relevant_candidate
2026-06-16T08:05:54.223268+00:00	사화	E0026117	사화	written
2026-06-16T08:06:00.363286+00:00	계유정난	E0003220	계유정난	written
2026-06-16T08:06:06.545709+00:00	임진왜란	E0047673	임진왜란	written
2026-06-16T08:06:12.738678+00:00	정유재란	E0050692	정유재란	written
2026-06-16T08:06:18.912612+00:00	병자호란	E0023151	병자호란	written
2026-06-16T08:06:25.090257+00:00	붕당 정치	E0025062	붕당정치	written
2026-06-16T08:06:31.277142+00:00	예송	E0037964	예송	written
2026-06-16T08:06:59.585157+00:00	환국			no_relevant_candidate
2026-06-16T08:07:05.753289+00:00	탕평책	E0058860	탕평책	written
2026-06-16T08:07:11.926791+00:00	대동법	E0014246	대동법	written
2026-06-16T08:07:18.172967+00:00	균역법	E0007303	균역법	written
2026-06-16T08:07:24.328343+00:00	실학	E0033695	실학	written
2026-06-16T08:07:30.511358+00:00	세도정치	E0029786	세도정치	written
2026-06-16T08:07:36.739479+00:00	비변사	E0025147	비변사	written
2026-06-16T08:07:43.016697+00:00	의정부	E0043379	의정부	written
2026-06-16T08:07:49.563371+00:00	육조	E0042158	육조	written
2026-06-16T08:07:56.035556+00:00	서원	E0028090	서원	written
2026-06-16T08:08:02.482748+00:00	향약	E0062948	향약	written
2026-06-16T08:08:08.532228+00:00	양반	E0035521	양반	written
2026-06-16T08:08:14.786147+00:00	노비	E0012757	노비	written
2026-06-16T08:08:20.943245+00:00	장영실	E0048697	장영실	written
2026-06-16T08:08:27.139434+00:00	이순신	E0044900	이순신	written
2026-06-16T08:08:33.371277+00:00	정약용	E0050549	정약용	written
2026-06-16T08:08:39.530875+00:00	김홍도	E0011078	김홍도	written
2026-06-16T08:08:45.734062+00:00	신윤복	E0033258	신윤복	written
